Day,Batch,ID,Title,Body,Depends On,Owner,Labels,Status
1,Foundation & Infrastructure,BE-012,BE-012: Configure Seed/Fixture System,"Deterministic seed script (roles, an admin user, a demo store) so any dev can reset to a known state locally and in CI.

Depends on: BE-011
Batch: 1 - Foundation & Infrastructure
Day: 1",BE-011,Dev-5,day-1;batch-1;setup;backend,Todo
1,Foundation & Infrastructure,BE-013,BE-013: Build Application Bootstrap,"Wire express app, middleware order (helmet → cors → body-parser → routes → error handler), and a single app.listen entrypoint.

Depends on: BE-006, BE-008, BE-009
Batch: 1 - Foundation & Infrastructure
Day: 1","BE-006, BE-008, BE-009",Dev-6,day-1;batch-1;setup;backend,Todo
1,Foundation & Infrastructure,BE-014,BE-014: Implement Request Validation Layer,"Central request-validation middleware (zod/celebrate/class-validator) so every route validates its DTO before hitting the controller.

Depends on: BE-008, BE-013
Batch: 1 - Foundation & Infrastructure
Day: 1","BE-008, BE-013",Dev-2 (Auth/RBAC),day-1;batch-1;service;backend,Todo
1,Foundation & Infrastructure,BE-015,BE-015: Implement Global Error Handling,"One global error-handling middleware that maps domain errors to consistent HTTP status codes/JSON shape and never leaks stack traces.

Depends on: BE-013, BE-014
Batch: 1 - Foundation & Infrastructure
Day: 1","BE-013, BE-014",Dev-3,day-1;batch-1;service;backend,Todo
1,Foundation & Infrastructure,BE-016,BE-016: Implement API Response/Status Standards,"Standard `{ success, data, error, meta }` response envelope and a shared HTTP-status helper used by every controller.

Depends on: BE-013
Batch: 1 - Foundation & Infrastructure
Day: 1",BE-013,Dev-5,day-1;batch-1;api;backend,Todo
1,Foundation & Infrastructure,BE-017,BE-017: Implement Logging Infrastructure,"Structured logger (pino/winston) with correlation/request IDs; never logs credentials or tokens.

Depends on: BE-013, BE-009
Batch: 1 - Foundation & Infrastructure
Day: 1","BE-013, BE-009",Dev-4,day-1;batch-1;service;backend,Todo
1,Foundation & Infrastructure,BE-018,BE-018: Implement API Documentation/OpenAPI Baseline,"Swagger/OpenAPI baseline (swagger-jsdoc or similar) served at /docs so every subsequent API task adds to one living contract.

Depends on: BE-016
Batch: 1 - Foundation & Infrastructure
Day: 1",BE-016,Dev-6,day-1;batch-1;api;backend,Todo
1,Foundation & Infrastructure,BE-019,BE-019: Configure CORS and HTTP Security,"Helmet, strict CORS allow-list, rate limiting on auth routes, secure cookie flags.

Depends on: BE-013, BE-009
Batch: 1 - Foundation & Infrastructure
Day: 1","BE-013, BE-009",Dev-7,day-1;batch-1;setup;backend,Todo
1,Foundation & Infrastructure,BE-020,BE-020: Configure Backend Test Framework,"Jest/Vitest + supertest + a test database strategy (Docker/transaction rollback per test) so every later task can add real integration tests.

Depends on: BE-008, BE-013
Batch: 1 - Foundation & Infrastructure
Day: 1","BE-008, BE-013",Dev-1 (Platform Lead),day-1;batch-1;setup;backend,Todo
2,Database Core & Identity (Auth/RBAC),BE-021,BE-021: Create Users Schema,"Design the Users table(s) in PostgreSQL: columns, primary/foreign keys, unique & check constraints, indexes, created_at/updated_at. Write the migration and add seed/fixture data; unit-test valid and invalid inserts.

Depends on: BE-011, BE-002
Batch: 2 - Database Core & Identity (Auth/RBAC)
Day: 2","BE-011, BE-002",Dev-3,day-2;batch-2;schema;backend,Todo
2,Database Core & Identity (Auth/RBAC),BE-022,BE-022: Create Roles Schema,"Design the Roles table(s) in PostgreSQL: columns, primary/foreign keys, unique & check constraints, indexes, created_at/updated_at. Write the migration and add seed/fixture data; unit-test valid and invalid inserts.

Depends on: BE-021
Batch: 2 - Database Core & Identity (Auth/RBAC)
Day: 2",BE-021,Dev-4,day-2;batch-2;schema;backend,Todo
2,Database Core & Identity (Auth/RBAC),BE-023,BE-023: Create Permissions Schema,"Design the Permissions table(s) in PostgreSQL: columns, primary/foreign keys, unique & check constraints, indexes, created_at/updated_at. Write the migration and add seed/fixture data; unit-test valid and invalid inserts.

Depends on: BE-022
Batch: 2 - Database Core & Identity (Auth/RBAC)
Day: 2",BE-022,Dev-5,day-2;batch-2;schema;backend,Todo
2,Database Core & Identity (Auth/RBAC),BE-024,BE-024: Create User-Role Relationships,"Design the User-Role table(s) in PostgreSQL: columns, primary/foreign keys, unique & check constraints, indexes, created_at/updated_at. Write the migration and add seed/fixture data; unit-test valid and invalid inserts.

Depends on: BE-021, BE-022
Batch: 2 - Database Core & Identity (Auth/RBAC)
Day: 2","BE-021, BE-022",Dev-6,day-2;batch-2;schema;backend,Todo
2,Database Core & Identity (Auth/RBAC),BE-025,BE-025: Create Role-Permission Relationships,"Design the Role-Permission table(s) in PostgreSQL: columns, primary/foreign keys, unique & check constraints, indexes, created_at/updated_at. Write the migration and add seed/fixture data; unit-test valid and invalid inserts.

Depends on: BE-022, BE-023
Batch: 2 - Database Core & Identity (Auth/RBAC)
Day: 2","BE-022, BE-023",Dev-7,day-2;batch-2;schema;backend,Todo
2,Database Core & Identity (Auth/RBAC),BE-026,BE-026: Implement Password Hashing,"bcrypt/Argon2id hashing on write, never store or log plaintext; unit-test hash/verify round trip.

Depends on: BE-021
Batch: 2 - Database Core & Identity (Auth/RBAC)
Day: 2",BE-021,Dev-1 (Platform Lead),day-2;batch-2;service;backend,Todo
2,Database Core & Identity (Auth/RBAC),BE-027,BE-027: Implement Authentication Service,"Credential check + session/JWT issuance service; central place all login-adjacent logic lives.

Depends on: BE-021, BE-026
Batch: 2 - Database Core & Identity (Auth/RBAC)
Day: 2","BE-021, BE-026",Dev-2 (Auth/RBAC),day-2;batch-2;service;backend,Todo
2,Database Core & Identity (Auth/RBAC),BE-028,BE-028: Implement Login API,"Expose REST endpoint(s) for Login: routes, request DTO validation, controller → service wiring, response envelope & status codes, OpenAPI docs. Add integration tests for success, validation errors and permission denial.

Depends on: BE-027
Batch: 2 - Database Core & Identity (Auth/RBAC)
Day: 2",BE-027,Dev-4,day-2;batch-2;api;backend,Todo
2,Database Core & Identity (Auth/RBAC),BE-029,BE-029: Implement Session/Token Validation,"Verify/refresh token or session validity on each request; test expiry and tampering.

Depends on: BE-027
Batch: 2 - Database Core & Identity (Auth/RBAC)
Day: 2",BE-027,Dev-3,day-2;batch-2;service;backend,Todo
2,Database Core & Identity (Auth/RBAC),BE-030,BE-030: Implement Logout/Session Revocation,"Implement Logout/Session Revocation as a service: enforce business rules, call the RBAC middleware for permission checks, persist through the repository/data layer (DB transaction if it touches stock), return standard domain error codes. Keep the controller thin.

Depends on: BE-029
Batch: 2 - Database Core & Identity (Auth/RBAC)
Day: 2",BE-029,Dev-4,day-2;batch-2;service;backend,Todo
2,Database Core & Identity (Auth/RBAC),BE-031,BE-031: Implement Authentication Middleware,"Attaches req.user from a valid token/session; rejects unauthenticated requests before they reach any controller.

Depends on: BE-029
Batch: 2 - Database Core & Identity (Auth/RBAC)
Day: 2",BE-029,Dev-5,day-2;batch-2;service;backend,Todo
2,Database Core & Identity (Auth/RBAC),BE-032,BE-032: Implement RBAC Authorization Middleware,"Given req.user, load roles→permissions and deny-by-default unless the route's required permission is present. This one middleware gates almost every other protected endpoint built for the rest of the week — treat it as the week's single highest-priority task after Day 1 infra.

Depends on: BE-024, BE-025, BE-031
Batch: 2 - Database Core & Identity (Auth/RBAC)
Day: 2","BE-024, BE-025, BE-031",Dev-6,day-2;batch-2;service;backend,Todo
2,Database Core & Identity (Auth/RBAC),BE-033,BE-033: Implement Permission Checking Service,"Implement Permission Checking as a service: enforce business rules, call the RBAC middleware for permission checks, persist through the repository/data layer (DB transaction if it touches stock), return standard domain error codes. Keep the controller thin.

Depends on: BE-032
Batch: 2 - Database Core & Identity (Auth/RBAC)
Day: 2",BE-032,Dev-7,day-2;batch-2;service;backend,Todo
2,Database Core & Identity (Auth/RBAC),BE-034,BE-034: Implement User Management Service,"Implement User Management as a service: enforce business rules, call the RBAC middleware for permission checks, persist through the repository/data layer (DB transaction if it touches stock), return standard domain error codes. Keep the controller thin.

Depends on: BE-021, BE-032
Batch: 2 - Database Core & Identity (Auth/RBAC)
Day: 2","BE-021, BE-032",Dev-1 (Platform Lead),day-2;batch-2;service;backend,Todo
2,Database Core & Identity (Auth/RBAC),BE-035,BE-035: Implement User Management APIs,"Expose REST endpoint(s) for User Management: routes, request DTO validation, controller → service wiring, response envelope & status codes, OpenAPI docs. Add integration tests for success, validation errors and permission denial.

Depends on: BE-034
Batch: 2 - Database Core & Identity (Auth/RBAC)
Day: 2",BE-034,Dev-5,day-2;batch-2;api;backend,Todo
2,Database Core & Identity (Auth/RBAC),BE-036,BE-036: Implement Role Management APIs,"Expose REST endpoint(s) for Role Management: routes, request DTO validation, controller → service wiring, response envelope & status codes, OpenAPI docs. Add integration tests for success, validation errors and permission denial.

Depends on: BE-022, BE-025, BE-032
Batch: 2 - Database Core & Identity (Auth/RBAC)
Day: 2","BE-022, BE-025, BE-032",Dev-6,day-2;batch-2;api;backend,Todo
2,Database Core & Identity (Auth/RBAC),BE-037,BE-037: Implement Permission Management APIs,"Expose REST endpoint(s) for Permission Management: routes, request DTO validation, controller → service wiring, response envelope & status codes, OpenAPI docs. Add integration tests for success, validation errors and permission denial.

Depends on: BE-023, BE-025, BE-032
Batch: 2 - Database Core & Identity (Auth/RBAC)
Day: 2","BE-023, BE-025, BE-032",Dev-7,day-2;batch-2;api;backend,Todo
2,Database Core & Identity (Auth/RBAC),BE-038,BE-038: Implement Account Activation/Deactivation,"Implement Account Activation/Deactivation as a service: enforce business rules, call the RBAC middleware for permission checks, persist through the repository/data layer (DB transaction if it touches stock), return standard domain error codes. Keep the controller thin.

Depends on: BE-035
Batch: 2 - Database Core & Identity (Auth/RBAC)
Day: 2",BE-035,Dev-2 (Auth/RBAC),day-2;batch-2;service;backend,Todo
2,Database Core & Identity (Auth/RBAC),BE-039,BE-039: Implement Authentication Audit Events,"Implement Authentication Audit Events as a service: enforce business rules, call the RBAC middleware for permission checks, persist through the repository/data layer (DB transaction if it touches stock), return standard domain error codes. Keep the controller thin.

Depends on: BE-017, BE-031
Batch: 2 - Database Core & Identity (Auth/RBAC)
Day: 2","BE-017, BE-031",Dev-3,day-2;batch-2;service;backend,Todo
2,Database Core & Identity (Auth/RBAC),BE-040,BE-040: Identity & Access Integration Tests,"Write integration tests for Identity & Access: happy path, validation failures, permission denials, workflow/state violations, and (where stock-affecting) transaction rollback / concurrency.

Depends on: BE-028–BE-039
Batch: 2 - Database Core & Identity (Auth/RBAC)
Day: 2",BE-028–BE-039,Dev-1 (Platform Lead),day-2;batch-2;tests;backend,Todo
3,Master Data & Organization,BE-041,BE-041: Create Stores Schema,"Design the Stores table(s) in PostgreSQL: columns, primary/foreign keys, unique & check constraints, indexes, created_at/updated_at. Write the migration and add seed/fixture data; unit-test valid and invalid inserts.

Depends on: BE-011
Batch: 3 - Master Data & Organization
Day: 3",BE-011,Dev-5,day-3;batch-3;schema;backend,Todo
3,Master Data & Organization,BE-042,BE-042: Create Departments/Store Departments Schema,"Design the Departments/Store Departments table(s) in PostgreSQL: columns, primary/foreign keys, unique & check constraints, indexes, created_at/updated_at. Write the migration and add seed/fixture data; unit-test valid and invalid inserts.

Depends on: BE-041
Batch: 3 - Master Data & Organization
Day: 3",BE-041,Dev-6,day-3;batch-3;schema;backend,Todo
3,Master Data & Organization,BE-043,BE-043: Create Categories Schema,"Design the Categories table(s) in PostgreSQL: columns, primary/foreign keys, unique & check constraints, indexes, created_at/updated_at. Write the migration and add seed/fixture data; unit-test valid and invalid inserts.

Depends on: BE-011
Batch: 3 - Master Data & Organization
Day: 3",BE-011,Dev-7,day-3;batch-3;schema;backend,Todo
3,Master Data & Organization,BE-044,BE-044: Create Units of Measure Schema,"Design the Units of Measure table(s) in PostgreSQL: columns, primary/foreign keys, unique & check constraints, indexes, created_at/updated_at. Write the migration and add seed/fixture data; unit-test valid and invalid inserts.

Depends on: BE-011
Batch: 3 - Master Data & Organization
Day: 3",BE-011,Dev-1 (Platform Lead),day-3;batch-3;schema;backend,Todo
3,Master Data & Organization,BE-045,BE-045: Create Items Schema,"Design the Items table(s) in PostgreSQL: columns, primary/foreign keys, unique & check constraints, indexes, created_at/updated_at. Write the migration and add seed/fixture data; unit-test valid and invalid inserts.

Depends on: BE-043, BE-044
Batch: 3 - Master Data & Organization
Day: 3","BE-043, BE-044",Dev-2 (Auth/RBAC),day-3;batch-3;schema;backend,Todo
3,Master Data & Organization,BE-046,BE-046: Create Suppliers/Donors Schema,"Design the Suppliers/Donors table(s) in PostgreSQL: columns, primary/foreign keys, unique & check constraints, indexes, created_at/updated_at. Write the migration and add seed/fixture data; unit-test valid and invalid inserts.

Depends on: BE-011
Batch: 3 - Master Data & Organization
Day: 3",BE-011,Dev-3,day-3;batch-3;schema;backend,Todo
3,Master Data & Organization,BE-047,BE-047: Create Locations Hierarchy Schema,"Design the Locations Hierarchy table(s) in PostgreSQL: columns, primary/foreign keys, unique & check constraints, indexes, created_at/updated_at. Write the migration and add seed/fixture data; unit-test valid and invalid inserts.

Depends on: BE-041
Batch: 3 - Master Data & Organization
Day: 3",BE-041,Dev-4,day-3;batch-3;schema;backend,Todo
3,Master Data & Organization,BE-048,BE-048: Implement Store Service,"Implement Store as a service: enforce business rules, call the RBAC middleware for permission checks, persist through the repository/data layer (DB transaction if it touches stock), return standard domain error codes. Keep the controller thin.

Depends on: BE-041, BE-032
Batch: 3 - Master Data & Organization
Day: 3","BE-041, BE-032",Dev-5,day-3;batch-3;service;backend,Todo
3,Master Data & Organization,BE-049,BE-049: Implement Department Service,"Implement Department as a service: enforce business rules, call the RBAC middleware for permission checks, persist through the repository/data layer (DB transaction if it touches stock), return standard domain error codes. Keep the controller thin.

Depends on: BE-042, BE-032
Batch: 3 - Master Data & Organization
Day: 3","BE-042, BE-032",Dev-6,day-3;batch-3;service;backend,Todo
3,Master Data & Organization,BE-050,BE-050: Implement Category Service,"Implement Category as a service: enforce business rules, call the RBAC middleware for permission checks, persist through the repository/data layer (DB transaction if it touches stock), return standard domain error codes. Keep the controller thin.

Depends on: BE-043, BE-032
Batch: 3 - Master Data & Organization
Day: 3","BE-043, BE-032",Dev-7,day-3;batch-3;service;backend,Todo
3,Master Data & Organization,BE-051,BE-051: Implement Unit Service,"Implement Unit as a service: enforce business rules, call the RBAC middleware for permission checks, persist through the repository/data layer (DB transaction if it touches stock), return standard domain error codes. Keep the controller thin.

Depends on: BE-044, BE-032
Batch: 3 - Master Data & Organization
Day: 3","BE-044, BE-032",Dev-1 (Platform Lead),day-3;batch-3;service;backend,Todo
3,Master Data & Organization,BE-052,BE-052: Implement Item Master Service,"Implement Item Master as a service: enforce business rules, call the RBAC middleware for permission checks, persist through the repository/data layer (DB transaction if it touches stock), return standard domain error codes. Keep the controller thin.

Depends on: BE-045, BE-032
Batch: 3 - Master Data & Organization
Day: 3","BE-045, BE-032",Dev-2 (Auth/RBAC),day-3;batch-3;service;backend,Todo
3,Master Data & Organization,BE-053,BE-053: Implement Supplier Service,"Implement Supplier as a service: enforce business rules, call the RBAC middleware for permission checks, persist through the repository/data layer (DB transaction if it touches stock), return standard domain error codes. Keep the controller thin.

Depends on: BE-046, BE-032
Batch: 3 - Master Data & Organization
Day: 3","BE-046, BE-032",Dev-3,day-3;batch-3;service;backend,Todo
3,Master Data & Organization,BE-054,BE-054: Implement Location Service,"Implement Location as a service: enforce business rules, call the RBAC middleware for permission checks, persist through the repository/data layer (DB transaction if it touches stock), return standard domain error codes. Keep the controller thin.

Depends on: BE-047, BE-032
Batch: 3 - Master Data & Organization
Day: 3","BE-047, BE-032",Dev-4,day-3;batch-3;service;backend,Todo
3,Master Data & Organization,BE-055,BE-055: Implement Store/Department APIs,"Expose REST endpoint(s) for Store/Department: routes, request DTO validation, controller → service wiring, response envelope & status codes, OpenAPI docs. Add integration tests for success, validation errors and permission denial.

Depends on: BE-048, BE-049
Batch: 3 - Master Data & Organization
Day: 3","BE-048, BE-049",Dev-6,day-3;batch-3;api;backend,Todo
3,Master Data & Organization,BE-056,BE-056: Implement Category/Unit APIs,"Expose REST endpoint(s) for Category/Unit: routes, request DTO validation, controller → service wiring, response envelope & status codes, OpenAPI docs. Add integration tests for success, validation errors and permission denial.

Depends on: BE-050, BE-051
Batch: 3 - Master Data & Organization
Day: 3","BE-050, BE-051",Dev-7,day-3;batch-3;api;backend,Todo
3,Master Data & Organization,BE-057,BE-057: Implement Item Master APIs,"Expose REST endpoint(s) for Item Master: routes, request DTO validation, controller → service wiring, response envelope & status codes, OpenAPI docs. Add integration tests for success, validation errors and permission denial.

Depends on: BE-052
Batch: 3 - Master Data & Organization
Day: 3",BE-052,Dev-1 (Platform Lead),day-3;batch-3;api;backend,Todo
3,Master Data & Organization,BE-058,BE-058: Implement Supplier APIs,"Expose REST endpoint(s) for Supplier: routes, request DTO validation, controller → service wiring, response envelope & status codes, OpenAPI docs. Add integration tests for success, validation errors and permission denial.

Depends on: BE-053
Batch: 3 - Master Data & Organization
Day: 3",BE-053,Dev-2 (Auth/RBAC),day-3;batch-3;api;backend,Todo
3,Master Data & Organization,BE-059,BE-059: Implement Location/Hierarchy APIs,"Expose REST endpoint(s) for Location/Hierarchy: routes, request DTO validation, controller → service wiring, response envelope & status codes, OpenAPI docs. Add integration tests for success, validation errors and permission denial.

Depends on: BE-054
Batch: 3 - Master Data & Organization
Day: 3",BE-054,Dev-3,day-3;batch-3;api;backend,Todo
3,Master Data & Organization,BE-060,BE-060: Implement Master Data Search/Filter APIs,"Expose REST endpoint(s) for Master Data Search/Filter: routes, request DTO validation, controller → service wiring, response envelope & status codes, OpenAPI docs. Add integration tests for success, validation errors and permission denial.

Depends on: BE-055–BE-059
Batch: 3 - Master Data & Organization
Day: 3",BE-055–BE-059,Dev-4,day-3;batch-3;api;backend,Todo
3,Master Data & Organization,BE-061,BE-061: Implement Master Data Validation Rules,"Implement Master Data Validation as a service: enforce business rules, call the RBAC middleware for permission checks, persist through the repository/data layer (DB transaction if it touches stock), return standard domain error codes. Keep the controller thin.

Depends on: BE-055–BE-059
Batch: 3 - Master Data & Organization
Day: 3",BE-055–BE-059,Dev-5,day-3;batch-3;service;backend,Todo
3,Master Data & Organization,BE-062,BE-062: Master Data Integration Tests,"Write integration tests for Master Data: happy path, validation failures, permission denials, workflow/state violations, and (where stock-affecting) transaction rollback / concurrency.

Depends on: BE-060, BE-061
Batch: 3 - Master Data & Organization
Day: 3","BE-060, BE-061",Dev-5,day-3;batch-3;tests;backend,Todo
4,Receiving & Technical Evaluation,BE-063,BE-063: Create Goods Receipt Schema,"Design the Goods Receipt table(s) in PostgreSQL: columns, primary/foreign keys, unique & check constraints, indexes, created_at/updated_at. Write the migration and add seed/fixture data; unit-test valid and invalid inserts.

Depends on: BE-045, BE-046, BE-041, BE-047
Batch: 4 - Receiving & Technical Evaluation
Day: 4","BE-045, BE-046, BE-041, BE-047",Dev-7,day-4;batch-4;schema;backend,Todo
4,Receiving & Technical Evaluation,BE-064,BE-064: Create Goods Receipt Lines Schema,"Design the Goods Receipt Lines table(s) in PostgreSQL: columns, primary/foreign keys, unique & check constraints, indexes, created_at/updated_at. Write the migration and add seed/fixture data; unit-test valid and invalid inserts.

Depends on: BE-063, BE-045
Batch: 4 - Receiving & Technical Evaluation
Day: 4","BE-063, BE-045",Dev-1 (Platform Lead),day-4;batch-4;schema;backend,Todo
4,Receiving & Technical Evaluation,BE-065,BE-065: Implement Goods Receipt Service,"Implement Goods Receipt as a service: enforce business rules, call the RBAC middleware for permission checks, persist through the repository/data layer (DB transaction if it touches stock), return standard domain error codes. Keep the controller thin.

Depends on: BE-063, BE-064, BE-032
Batch: 4 - Receiving & Technical Evaluation
Day: 4","BE-063, BE-064, BE-032",Dev-1 (Platform Lead),day-4;batch-4;service;backend,Todo
4,Receiving & Technical Evaluation,BE-066,BE-066: Implement Goods Receipt Create API,"Expose REST endpoint(s) for Goods Receipt Create: routes, request DTO validation, controller → service wiring, response envelope & status codes, OpenAPI docs. Add integration tests for success, validation errors and permission denial.

Depends on: BE-065
Batch: 4 - Receiving & Technical Evaluation
Day: 4",BE-065,Dev-2 (Auth/RBAC),day-4;batch-4;api;backend,Todo
4,Receiving & Technical Evaluation,BE-067,BE-067: Implement Goods Receipt List/Detail APIs,"Expose REST endpoint(s) for Goods Receipt List/Detail: routes, request DTO validation, controller → service wiring, response envelope & status codes, OpenAPI docs. Add integration tests for success, validation errors and permission denial.

Depends on: BE-065
Batch: 4 - Receiving & Technical Evaluation
Day: 4",BE-065,Dev-3,day-4;batch-4;api;backend,Todo
4,Receiving & Technical Evaluation,BE-068,BE-068: Implement Goods Receipt Status Transitions,"Implement Goods Receipt Status Transitions as a service: enforce business rules, call the RBAC middleware for permission checks, persist through the repository/data layer (DB transaction if it touches stock), return standard domain error codes. Keep the controller thin.

Depends on: BE-003, BE-065
Batch: 4 - Receiving & Technical Evaluation
Day: 4","BE-003, BE-065",Dev-2 (Auth/RBAC),day-4;batch-4;service;backend,Todo
4,Receiving & Technical Evaluation,BE-069,BE-069: Implement Receipt Attachment References,"Implement Receipt Attachment References as a service: enforce business rules, call the RBAC middleware for permission checks, persist through the repository/data layer (DB transaction if it touches stock), return standard domain error codes. Keep the controller thin.

Depends on: BE-063 + storage design
Batch: 4 - Receiving & Technical Evaluation
Day: 4",BE-063 + storage design,Dev-3,day-4;batch-4;service;backend,Todo
4,Receiving & Technical Evaluation,BE-070,BE-070: Create Technical Evaluation Schema,"Design the Technical Evaluation table(s) in PostgreSQL: columns, primary/foreign keys, unique & check constraints, indexes, created_at/updated_at. Write the migration and add seed/fixture data; unit-test valid and invalid inserts.

Depends on: BE-063
Batch: 4 - Receiving & Technical Evaluation
Day: 4",BE-063,Dev-2 (Auth/RBAC),day-4;batch-4;schema;backend,Todo
4,Receiving & Technical Evaluation,BE-071,BE-071: Implement Technical Evaluation Service,"Implement Technical Evaluation as a service: enforce business rules, call the RBAC middleware for permission checks, persist through the repository/data layer (DB transaction if it touches stock), return standard domain error codes. Keep the controller thin.

Depends on: BE-070, BE-032
Batch: 4 - Receiving & Technical Evaluation
Day: 4","BE-070, BE-032",Dev-4,day-4;batch-4;service;backend,Todo
4,Receiving & Technical Evaluation,BE-072,BE-072: Implement Evaluation Routing API,"Expose REST endpoint(s) for Evaluation Routing: routes, request DTO validation, controller → service wiring, response envelope & status codes, OpenAPI docs. Add integration tests for success, validation errors and permission denial.

Depends on: BE-071, BE-068
Batch: 4 - Receiving & Technical Evaluation
Day: 4","BE-071, BE-068",Dev-4,day-4;batch-4;api;backend,Todo
4,Receiving & Technical Evaluation,BE-073,BE-073: Implement Evaluation Decision API,"Expose REST endpoint(s) for Evaluation Decision: routes, request DTO validation, controller → service wiring, response envelope & status codes, OpenAPI docs. Add integration tests for success, validation errors and permission denial.

Depends on: BE-071, BE-003
Batch: 4 - Receiving & Technical Evaluation
Day: 4","BE-071, BE-003",Dev-5,day-4;batch-4;api;backend,Todo
4,Receiving & Technical Evaluation,BE-074,BE-074: Implement Evaluation Evidence References,"Implement Evaluation Evidence References as a service: enforce business rules, call the RBAC middleware for permission checks, persist through the repository/data layer (DB transaction if it touches stock), return standard domain error codes. Keep the controller thin.

Depends on: BE-070 + storage design
Batch: 4 - Receiving & Technical Evaluation
Day: 4",BE-070 + storage design,Dev-5,day-4;batch-4;service;backend,Todo
4,Receiving & Technical Evaluation,BE-075,BE-075: Implement Evaluation History,"Implement Evaluation History as a service: enforce business rules, call the RBAC middleware for permission checks, persist through the repository/data layer (DB transaction if it touches stock), return standard domain error codes. Keep the controller thin.

Depends on: BE-071, BE-017
Batch: 4 - Receiving & Technical Evaluation
Day: 4","BE-071, BE-017",Dev-6,day-4;batch-4;service;backend,Todo
